ID1,Name,longitude,latitude,Label,Elevation,Slope,Aspect,Compass
PP-1,CAD,-68.218785,44.325946,PP1,205,20,19,North
PP-2,CAD,-68.222364,44.331892,PP2,277,10,80,East
PP-3,CAD,-68.222701,44.331704,PP3,279,5,150,SE
PP-4,CAD,-68.222806,44.329033,PP4,216,23,198,South
PP-5,CAD,-68.222848,44.332203,PP5,284,10,94,East
PP-6,CAD,-68.220520,44.326652,PP6,217,10,201,South
PP-7,CAD,-68.220144,44.326079,PP7,212,2,74,East
PP-8,CAD,-68.219955,44.326558,PP8,211,10,120,SE
PP-9,CAD,-68.222839,44.331599,PP9,278,10,162,South
PP-10,CAD,-68.220191,44.326505,PP10,214,5,173,South
PP-1,CADCLIFFS,-68.184994,44.327785,PP1,29,18,120,SE
PP-2,CADCLIFFS,-68.184909,44.327839,PP2,28,15,115,SE
PP-3,CADCLIFFS,-68.185274,44.327835,PP3,32,14,123,SE
PP-4,CADCLIFFS,-68.185045,44.327710,PP4,29,16,129,SE
PP-5,CADCLIFFS,-68.185261,44.327888,PP5,33,19,157,SE
PP-6,CADCLIFFS,-68.185338,44.327824,PP6,32,9,138,SE
PP-7,CADCLIFFS,-68.185424,44.327916,PP7,33,11,185,South
PP-8,CADCLIFFS,-68.185467,44.327778,PP8,32,19,130,SE
PP-9,CADCLIFFS,-68.185617,44.327992,PP9,38,14,80,East
PP-10,CADCLIFFS,-68.185446,44.328192,PP10,40,32,244,SW
PP-1,STSAUV,-68.329148,44.311904,PP1,134,19,314,NE
PP-2,STSAUV,-68.327688,44.311331,PP2,159,3,254,West
PP-3,STSAUV,-68.326502,44.310736,PP3,185,20,275,West
PP-4,STSAUV,-68.326980,44.310686,PP4,175,20,257,West
PP-5,STSAUV,-68.327474,44.310921,PP5,163,12,282,West
PP-6,STSAUV,-68.327431,44.310721,PP6,164,13,251,West
PP-7,STSAUV,-68.326745,44.310307,PP7,176,12,277,West
PP-8,STSAUV,-68.326015,44.310230,PP8,180,11,122,SE
PP-9,STSAUV,-68.324663,44.310261,PP9,184,17,247,SW
PP-10,STSAUV,-68.323976,44.310061,PP10,195,25,237,SW
PP-1,WOND,-68.315257,44.231664,PP1,17,4,287,West
PP-2,WOND,-68.314908,44.231531,PP2,18,0,323,NE
PP-3,WOND,-68.313370,44.230862,PP3,12,2,120,SE
PP-4,WOND,-68.314917,44.231479,PP4,18,2,205,SW
PP-5,WOND,-68.314410,44.231365,PP5,17,5,111,East
PP-6,WOND,-68.314425,44.231174,PP6,15,3,56,NE
PP-7,WOND,-68.315469,44.231198,PP7,15,3,260,West
PP-8,WOND,-68.313625,44.231271,PP8,15,7,100,East
PP-9,WOND,-68.314053,44.231347,PP9,16,3,197,South
PP-10,WOND,-68.313910,44.231145,PP10,16,5,225,SW